,LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,LIBERDADE > SEXUAL > VIOLÊNCIA SEXUAL MEDIANTE FRAUDE,INTEGRIDADE > FÍSICA > AGRESSÃO ou VIAS DE FATO,INTEGRIDADE > FÍSICA > LESÃO CORPORAL,INTEGRIDADE > FÍSICA > MAUS TRATOS,INTEGRIDADE > FÍSICA > TORTURA FÍSICA,INTEGRIDADE > FÍSICA > VIOLÊNCIA OBSTÉTRICA,INTEGRIDADE > PSÍQUICA > AMEAÇA ou COAÇÃO,INTEGRIDADE > PSÍQUICA > ASSÉDIO MORAL,INTEGRIDADE > PSÍQUICA > TORTURA PSÍQUICA,INTEGRIDADE > PSÍQUICA > ALIENAÇÃO PARENTAL,INTEGRIDADE > PSÍQUICA > CONSTRANGIMENTO,INTEGRIDADE > PSÍQUICA > EXPOSIÇÃO (EROTIZAÇÃO),INTEGRIDADE > PATRIMONIAL > INDIVIDUAL,LIBERDADE > DIREITOS INDIVIDUAIS > CÁRCERE PRIVADO,LIBERDADE > DIREITOS INDIVIDUAIS > SEQUESTRO,LIBERDADE > DIREITOS INDIVIDUAIS > STALKING,LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - INTERNACIONAL,LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - NACIONAL,VIDA > FEMINICÍDIO,DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA DE GÊNERO E CONTRA AS MULHERES
LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,0.0,0.8059463764268648,0.8019644279267322,0.8131138837271038,0.8205468542606849,0.7969206264932307,0.7791345898593045,0.8056809131935228,0.8019644279267322,0.8038226705601275,0.8213432439607115,0.7912698412698412,0.7873639500929122,0.8006371117600213,0.7990443323599682,0.8056809131935228,0.7775205761316872,0.788691266259623,0.7985134058932838,0.7902840456596761,0.8082123184777166,0.7897531191929917,0.7703743031590125,0.7560392885585346,0.7723958333333333,0.7762144942925405,0.8083355455269445,0.8115211043270507,0.7772763472259092,0.791611361826387
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,0.8059463764268648,0.0,0.7548060708263069,0.7470489038785835,0.7709949409780775,0.7811842500751428,0.7873353880638835,0.7711784932791498,0.7661392405063291,0.7946505608283002,0.7622730329522529,0.8161375661375662,0.8006756756756757,0.8014925373134328,0.8104212860310421,0.7932476844935763,0.7975823045267489,0.7922150658078969,0.8012514898688915,0.7879252221881704,0.8269904857285929,0.7861870503597123,0.7904841402337228,0.7805786307648238,0.80703125,0.7590728880756328,0.7561551433389545,0.7659359190556493,0.7638717632552404,0.7715736040609137
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,0.8019644279267322,0.7548060708263069,0.0,0.7446880269814502,0.7388362652232747,0.7529305680793508,0.7727654805267582,0.7658643326039387,0.7613924050632911,0.7589876330169687,0.7273032952252858,0.7867724867724868,0.7894144144144144,0.7895522388059701,0.8032150776053215,0.7744248580818643,0.7775205761316872,0.7605712685522262,0.7908224076281287,0.7775053631627337,0.7901852779168753,0.7689208633093525,0.7946577629382304,0.7694070466914924,0.7846354166666667,0.7581579749923757,0.7161705006765899,0.736468200270636,0.7635635018495684,0.760525530008958
LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,0.8131138837271038,0.7470489038785835,0.7446880269814502,0.0,0.7703204047217538,0.7772768259693418,0.7853740543569627,0.7743044701469209,0.7746835443037975,0.7719298245614035,0.7162071284465367,0.803968253968254,0.8091216216216216,0.8023880597014925,0.8023835920177383,0.7842844338213325,0.7911522633744856,0.8022962755530664,0.7949940405244339,0.8020226785167024,0.7826740110165248,0.782158273381295,0.7913188647746243,0.7748496132913205,0.7877604166666666,0.7511436413540714,0.7328836424957842,0.7419898819561551,0.7536991368680641,0.7623171095849507
LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,0.8205468542606849,0.7709949409780775,0.7388362652232747,0.7703204047217538,0.0,0.7790802524797115,0.7772485289997199,0.7680525164113785,0.779746835443038,0.7768190969226344,0.7498318762609281,0.8108465608465608,0.7911036036036037,0.7955223880597015,0.811529933481153,0.7801015835076187,0.7991255144032922,0.7793335200224026,0.7860548271752086,0.7701501685565431,0.8034551827741613,0.7833093525179856,0.7629382303839732,0.7800057290174734,0.7979166666666667,0.7304056114669106,0.7321304649548924,0.7359472588480223,0.7592478421701603,0.7575395640489698
LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,0.7969206264932307,0.7811842500751428,0.7529305680793508,0.7772768259693418,0.7790802524797115,0.0,0.7808910058840011,0.7685602645025549,0.7700631199278629,0.7759562841530054,0.7694619777577397,0.7888888888888889,0.790259009009009,0.7943283582089552,0.7996119733924612,0.7615775321183149,0.7950102880658436,0.7933352002240269,0.7961859356376639,0.7796813946498347,0.8044566850275413,0.7890647482014389,0.7793544796883695,0.7639644800916643,0.79375,0.7571385632702134,0.780282536819958,0.7808836789900812,0.7526299969942891,0.7632128993729471
LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,0.7791345898593045,0.7873353880638835,0.7727654805267582,0.7853740543569627,0.7772485289997199,0.7808910058840011,0.0,0.7996637713645279,0.7923788175959653,0.7604370972261137,0.7912580554777249,0.7873015873015873,0.775007004763239,0.7691230036424769,0.7846452328159645,0.7968618660689268,0.7710905349794238,0.7706524782973957,0.7960212944802466,0.7803306248248809,0.78542814221332,0.7671616699355561,0.7559821925431275,0.74978985710283,0.7731770833333333,0.7730456710563183,0.7724852899971981,0.7814513869431213,0.7811711964135613,0.7551134771644719
LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,0.8056809131935228,0.7711784932791498,0.7658643326039387,0.7743044701469209,0.7680525164113785,0.7685602645025549,0.7996637713645279,0.0,0.7814942169427946,0.7796951394880645,0.7696155048452642,0.8060846560846561,0.7958896396396397,0.7988059701492537,0.8106984478935698,0.7836868837765163,0.8009259259259259,0.7745729487538504,0.781585220500596,0.7796506282562059,0.7989484226339509,0.7858992805755396,0.7765720645520312,0.7622457748496133,0.7979166666666667,0.7282708142726441,0.7542982181931853,0.7561738043138481,0.7610974106041923,0.7324574499850701
LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,0.8019644279267322,0.7661392405063291,0.7613924050632911,0.7746835443037975,0.779746835443038,0.7700631199278629,0.7923788175959653,0.7814942169427946,0.0,0.7791199309749784,0.7598101265822785,0.8007936507936508,0.7908220720720721,0.7826865671641791,0.8076496674057649,0.7821930086644756,0.7896090534979424,0.7798935872304676,0.7887365911799762,0.7830217591173766,0.7929394091136706,0.7905035971223021,0.771841958820256,0.7782870237754225,0.796875,0.7621225983531564,0.7762658227848102,0.7787974683544304,0.7614056720098644,0.7694834278889221
LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,0.8038226705601275,0.7946505608283002,0.7589876330169687,0.7719298245614035,0.7768190969226344,0.7759562841530054,0.7604370972261137,0.7796951394880645,0.7791199309749784,0.0,0.7604256542996837,0.7867724867724868,0.7846283783783784,0.7891860799539833,0.7971175166297118,0.7871728501581824,0.8027263374485597,0.7810137216465975,0.7771067011791775,0.7877480586712683,0.7781672508763144,0.7589876330169687,0.7665553700612131,0.7441993698080779,0.78046875,0.7664653436870865,0.7693413862525166,0.7802703480011505,0.7679033649698016,0.7601380500431406
