,LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,LIBERDADE > SEXUAL > VIOLÊNCIA SEXUAL MEDIANTE FRAUDE,INTEGRIDADE > FÍSICA > AGRESSÃO ou VIAS DE FATO,INTEGRIDADE > FÍSICA > LESÃO CORPORAL,INTEGRIDADE > FÍSICA > MAUS TRATOS,INTEGRIDADE > FÍSICA > TORTURA FÍSICA,INTEGRIDADE > FÍSICA > VIOLÊNCIA OBSTÉTRICA,INTEGRIDADE > PSÍQUICA > AMEAÇA ou COAÇÃO,INTEGRIDADE > PSÍQUICA > ASSÉDIO MORAL,INTEGRIDADE > PSÍQUICA > TORTURA PSÍQUICA,INTEGRIDADE > PSÍQUICA > ALIENAÇÃO PARENTAL,INTEGRIDADE > PSÍQUICA > CONSTRANGIMENTO,INTEGRIDADE > PSÍQUICA > EXPOSIÇÃO (EROTIZAÇÃO),INTEGRIDADE > PATRIMONIAL > INDIVIDUAL,LIBERDADE > DIREITOS INDIVIDUAIS > CÁRCERE PRIVADO,LIBERDADE > DIREITOS INDIVIDUAIS > SEQUESTRO,LIBERDADE > DIREITOS INDIVIDUAIS > STALKING,LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - INTERNACIONAL,LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - NACIONAL,VIDA > FEMINICÍDIO,DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA DE GÊNERO E CONTRA AS MULHERES
INTEGRIDADE > FÍSICA > AGRESSÃO ou VIAS DE FATO,0.7808367071524966,0.8080453563714903,0.8032223983095615,0.8104751619870411,0.809297411516112,0.7950343370311674,0.7873015873015873,0.8060846560846561,0.8007936507936508,0.7918678526048285,0.803968253968254,0.0,0.7823974082073434,0.7834536368684064,0.8073661897191309,0.8015873015873016,0.779320987654321,0.805026455026455,0.8055555555555556,0.7917989417989418,0.7884422110552763,0.7905441098784998,0.7576579018704256,0.783068783068783,0.78060413354531,0.8,0.8139922265408107,0.8247840172786177,0.8105458399576047,0.8055995773903857
INTEGRIDADE > FÍSICA > LESÃO CORPORAL,0.7873639500929122,0.8006756756756757,0.7990033222591362,0.8091216216216216,0.8052675819557299,0.7904174838890445,0.7901372933594845,0.8042635658914729,0.7945736434108527,0.7882120699379582,0.8008740781207321,0.7823974082073434,0.0,0.7744078567302137,0.7967768369298006,0.7881759596525637,0.7782921810699589,0.797142056598487,0.7973231357552581,0.7736060521154385,0.7866800200300451,0.7713881019830028,0.7522363784223367,0.7649211711711712,0.7798365122615804,0.7801238738738738,0.802745867189689,0.813673297842533,0.7842532922387223,0.7989620322316306
INTEGRIDADE > FÍSICA > MAUS TRATOS,0.7844803948450781,0.7917507931929623,0.7911960613958876,0.7991742848717193,0.7955223880597015,0.7894584419345496,0.7694421544380324,0.7950457092303156,0.7826865671641791,0.7758193335169374,0.7918018283692126,0.7834536368684064,0.7744078567302137,0.0,0.7984406583886803,0.7928358208955224,0.7841313269493844,0.8027130639929224,0.7949235650418229,0.7862705509085665,0.799449173760641,0.787199124726477,0.76614261650758,0.7752583237657864,0.7877604166666666,0.797910447761194,0.8101492537313433,0.8136242996166323,0.7983847706951255,0.8000589796520201
INTEGRIDADE > FÍSICA > TORTURA FÍSICA,0.7975708502024291,0.7867557715674363,0.7872656947337102,0.7973817316274918,0.7947508109702153,0.7969359331476323,0.7883393202542138,0.8000589796520201,0.7913646391427671,0.8008415147265077,0.8009436744323208,0.8073661897191309,0.7967768369298006,0.7984406583886803,0.0,0.7882483370288248,0.7818930041152263,0.7937390286717378,0.7968150987909172,0.7765545968461768,0.7927673762503206,0.7813031161473087,0.7546322290847838,0.7772778402699663,0.7873771339886187,0.7831257078142695,0.7912120318490121,0.7992102065613609,0.7876670716889429,0.788158286224338
INTEGRIDADE > FÍSICA > VIOLÊNCIA OBSTÉTRICA,0.7871454592766068,0.7781885397412199,0.7730769230769231,0.7803450400492914,0.7784966112138016,0.7778753292361721,0.7824033067611456,0.771594953089615,0.7711063700091435,0.7911054637865311,0.7745562130177515,0.8015873015873016,0.7881759596525637,0.7928358208955224,0.7882483370288248,0.0,0.8093023255813954,0.7993712489282652,0.8003544004725339,0.7822531798909752,0.8067891781521185,0.7926345609065156,0.7685009487666035,0.7888076490438695,0.8008174386920981,0.7763306908267271,0.7860770839557812,0.7877387553912508,0.7914201183431953,0.7783046828689982
INTEGRIDADE > PSÍQUICA > AMEAÇA ou COAÇÃO,0.7775205761316872,0.7942622950819672,0.7893442622950819,0.7926229508196722,0.8073849545329291,0.7907103825136612,0.7743351407177899,0.7972677595628416,0.7874316939890711,0.7882126136050674,0.7967168262653899,0.779320987654321,0.7782921810699589,0.7841313269493844,0.7818930041152263,0.8093023255813954,0.0,0.8140432098765432,0.8082079343365253,0.7916666666666666,0.7831747621432148,0.7857729138166895,0.761059670781893,0.788019623031242,0.7797572940872709,0.80109439124487,0.8235294117647058,0.8333333333333334,0.8046293744833287,0.8161422708618331
INTEGRIDADE > PSÍQUICA > ASSÉDIO MORAL,0.788691266259623,0.7777119146413752,0.7829139847864248,0.8002286367533581,0.7867962274935696,0.7879908935685828,0.7706524782973957,0.7788180222352252,0.7775449101796407,0.785133239831697,0.7818612922347362,0.805026455026455,0.797142056598487,0.8027130639929224,0.7937390286717378,0.7993712489282652,0.8140432098765432,0.0,0.8078419634839868,0.8029045643153527,0.8081559374198513,0.7956783369803063,0.7760910815939279,0.7962274935695913,0.7950520833333333,0.7801736208345001,0.802223522527794,0.8036863662960796,0.799297834991223,0.7956674473067916
INTEGRIDADE > PSÍQUICA > TORTURA PSÍQUICA,0.7937921727395412,0.7937743190661478,0.7897182689514958,0.7987051206592113,0.7966450853443202,0.7961859356376639,0.7960212944802466,0.7931135962330783,0.7887365911799762,0.7896221094190637,0.7966889340691258,0.8055555555555556,0.7973231357552581,0.7949235650418229,0.7968150987909172,0.8003544004725339,0.8082079343365253,0.8078419634839868,0.0,0.785167745732784,0.8061041292639138,0.7807144931745571,0.7655191108701546,0.7840160412489258,0.7885558583106267,0.7839750849377124,0.8033522897336127,0.8048271752085816,0.7875220718069452,0.8025309005297233
INTEGRIDADE > PSÍQUICA > ALIENAÇÃO PARENTAL,0.789401802786124,0.7792487684729064,0.7840562003665241,0.798452112221864,0.7813446396123561,0.7829457364341085,0.7897209173804919,0.7882814859559045,0.7830217591173766,0.7924421883812747,0.7900246305418719,0.7917989417989418,0.7736060521154385,0.7862705509085665,0.7765545968461768,0.7822531798909752,0.7916666666666666,0.8029045643153527,0.785167745732784,0.0,0.7710216379074226,0.7596182523113629,0.7606397397668745,0.7589498806682577,0.7589239524055872,0.7730604764813683,0.7730604764813683,0.7800855222968845,0.7684789248625534,0.7709764108689161
INTEGRIDADE > PSÍQUICA > CONSTRANGIMENTO,0.7958141909137315,0.8078994614003591,0.8032663316582914,0.801174068402246,0.8114901256732495,0.7978560490045942,0.7853295716850475,0.7994357527571172,0.7982412060301508,0.7781672508763144,0.8012310848935624,0.7884422110552763,0.7866800200300451,0.799449173760641,0.7927673762503206,0.8067891781521185,0.7831747621432148,0.8081559374198513,0.8061041292639138,0.7710216379074226,0.0,0.8025125628140704,0.7701552328492739,0.7942827973455845,0.7778894472361809,0.8064596895343015,0.8299949924887331,0.8310362429811128,0.8132018625034237,0.81368044920878
INTEGRIDADE > PSÍQUICA > EXPOSIÇÃO (EROTIZAÇÃO),0.7765286536879628,0.7861870503597123,0.7825492341356673,0.782158273381295,0.7833093525179856,0.7770538243626063,0.7782767330900926,0.775070821529745,0.7732248105529048,0.7789934354485777,0.7819253438113949,0.7905441098784998,0.7713881019830028,0.787199124726477,0.7813031161473087,0.7926345609065156,0.7857729138166895,0.7956783369803063,0.7807144931745571,0.7596182523113629,0.8025125628140704,0.0,0.7517146776406035,0.7723880597014925,0.7694822888283379,0.7740667976424361,0.7900849858356941,0.7920679886685552,0.7760314341846758,0.769161944527289
INTEGRIDADE > PATRIMONIAL > INDIVIDUAL,0.746790494400437,0.7831031681559708,0.793122122935283,0.7806993765248035,0.7717303005686433,0.7501403705783268,0.760628215542919,0.7584619550500947,0.7598265112496612,0.7579203899268887,0.77119341563786,0.7576579018704256,0.7522363784223367,0.76614261650758,0.7546322290847838,0.7685009487666035,0.761059670781893,0.7760910815939279,0.7655191108701546,0.7606397397668745,0.7701552328492739,0.7517146776406035,0.0,0.7836780324203466,0.7992574913815964,0.8099610461880913,0.817798989331836,0.8234497698348227,0.8121841661987648,0.8172946597994036
LIBERDADE > DIREITOS INDIVIDUAIS > CÁRCERE PRIVADO,0.7713900134952767,0.7805786307648238,0.7849045346062052,0.7748496132913205,0.7786839145106862,0.7688652878703186,0.7765869744435284,0.7761529808773904,0.7750596658711217,0.7835307077939961,0.7739032620922385,0.783068783068783,0.7649211711711712,0.7752583237657864,0.7772778402699663,0.7888076490438695,0.788019623031242,0.7962274935695913,0.7840160412489258,0.7589498806682577,0.7942827973455845,0.7723880597014925,0.7836780324203466,0.0,0.7953957578892913,0.8005166475315729,0.8174958077138066,0.8272701231738757,0.8019517795637199,0.8068312284730195
LIBERDADE > DIREITOS INDIVIDUAIS > SEQUESTRO,0.7708446866485014,0.80703125,0.7862635905595333,0.7928931317952798,0.8019073569482289,0.7917744438696327,0.7735323886639676,0.7918324051975604,0.7825510474675152,0.7817438692098093,0.7984997413347129,0.78060413354531,0.7798365122615804,0.7877604166666666,0.7873771339886187,0.8008174386920981,0.7797572940872709,0.7950520833333333,0.7885558583106267,0.7589239524055872,0.7778894472361809,0.7694822888283379,0.7992574913815964,0.7953957578892913,0.0,0.7965587044534413,0.807478122513922,0.814019658561821,0.8008174386920981,0.7986979166666667
LIBERDADE > DIREITOS INDIVIDUAIS > STALKING,0.7762144942925405,0.7750669443617971,0.7675409836065574,0.7566200535554894,0.7590600226500567,0.7571385632702134,0.7730456710563183,0.7398074745186863,0.7518950437317784,0.7694849903607821,0.7471790179932907,0.8,0.7801238738738738,0.797910447761194,0.7831257078142695,0.7763306908267271,0.80109439124487,0.7801736208345001,0.7839750849377124,0.7730604764813683,0.8064596895343015,0.7740667976424361,0.8099610461880913,0.8005166475315729,0.7965587044534413,0.0,0.7877551020408163,0.7982743231181196,0.7815580286168522,0.788158286224338
LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - INTERNACIONAL,0.803778677462888,0.7631067961165049,0.7555926544240401,0.7328836424957842,0.7495711835334476,0.780282536819958,0.7725714285714286,0.7463976945244957,0.7691585861745386,0.7952314165497896,0.7297843665768194,0.8139922265408107,0.802745867189689,0.8101492537313433,0.7912120318490121,0.7860770839557812,0.8235294117647058,0.802223522527794,0.8033522897336127,0.7730604764813683,0.8299949924887331,0.7900849858356941,0.817798989331836,0.8174958077138066,0.807478122513922,0.7877551020408163,0.0,0.7168721109399075,0.7900030478512649,0.7799343087488803
LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - NACIONAL,0.7981425839934444,0.7659359190556493,0.7461669505962522,0.7467326033203815,0.7499138821908371,0.7808836789900812,0.7814513869431213,0.7561738043138481,0.7762877171594026,0.7854137447405329,0.7332425995236475,0.8247840172786177,0.813673297842533,0.8136242996166323,0.7992102065613609,0.7877387553912508,0.8333333333333334,0.8036863662960796,0.8048271752085816,0.7800855222968845,0.8310362429811128,0.7920679886685552,0.8234497698348227,0.8272701231738757,0.814019658561821,0.7982743231181196,0.7168721109399075,0.0,0.8044762200808206,0.7948482060717571
VIDA > FEMINICÍDIO,0.7845433255269321,0.7638717632552404,0.7656597774244833,0.7670933499843896,0.7592478421701603,0.7587954680977936,0.7905714285714286,0.7610974106041923,0.763181956720512,0.790468133107727,0.7619628162145687,0.8105458399576047,0.7842532922387223,0.7983847706951255,0.7876670716889429,0.7914201183431953,0.8046293744833287,0.799297834991223,0.7875220718069452,0.7684789248625534,0.8132018625034237,0.7760314341846758,0.8121841661987648,0.8019517795637199,0.8008174386920981,0.7815580286168522,0.7900030478512649,0.8044762200808206,0.0,0.7786010669828097
DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA DE GÊNERO E CONTRA AS MULHERES,0.7840228987769972,0.771542471634468,0.760525530008958,0.7623197115384616,0.7575395640489698,0.7584973166368515,0.7577142857142857,0.7513337285121517,0.7555620608899297,0.7777471770862021,0.7502927400468384,0.8055995773903857,0.7989620322316306,0.8000589796520201,0.788158286224338,0.7783046828689982,0.8161422708618331,0.7956674473067916,0.8025309005297233,0.7709764108689161,0.81368044920878,0.769161944527289,0.8172946597994036,0.8068312284730195,0.7986979166666667,0.788158286224338,0.7799343087488803,0.7948482060717571,0.7786010669828097,0.0
