,LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,LIBERDADE > SEXUAL > VIOLÊNCIA SEXUAL MEDIANTE FRAUDE,INTEGRIDADE > FÍSICA > AGRESSÃO ou VIAS DE FATO,INTEGRIDADE > FÍSICA > LESÃO CORPORAL,INTEGRIDADE > FÍSICA > MAUS TRATOS,INTEGRIDADE > FÍSICA > TORTURA FÍSICA,INTEGRIDADE > FÍSICA > VIOLÊNCIA OBSTÉTRICA,INTEGRIDADE > PSÍQUICA > AMEAÇA ou COAÇÃO,INTEGRIDADE > PSÍQUICA > ASSÉDIO MORAL,INTEGRIDADE > PSÍQUICA > TORTURA PSÍQUICA,INTEGRIDADE > PSÍQUICA > ALIENAÇÃO PARENTAL,INTEGRIDADE > PSÍQUICA > CONSTRANGIMENTO,INTEGRIDADE > PSÍQUICA > EXPOSIÇÃO (EROTIZAÇÃO),INTEGRIDADE > PATRIMONIAL > INDIVIDUAL,LIBERDADE > DIREITOS INDIVIDUAIS > CÁRCERE PRIVADO,LIBERDADE > DIREITOS INDIVIDUAIS > SEQUESTRO,LIBERDADE > DIREITOS INDIVIDUAIS > STALKING,LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - INTERNACIONAL,LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - NACIONAL,VIDA > FEMINICÍDIO,DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA DE GÊNERO E CONTRA AS MULHERES
LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,0.0,0.8051282051282052,0.8097165991902834,0.8156545209176788,0.8134952766531713,0.7975708502024291,0.7889338731443994,0.7986504723346829,0.792442645074224,0.7880559085133418,0.803778677462888,0.7808367071524966,0.8051282051282052,0.7789473684210526,0.7975708502024291,0.8026990553306342,0.7781376518218623,0.8051282051282052,0.7937921727395412,0.7735492577597841,0.7766331658291458,0.7719298245614035,0.745748987854251,0.7713900134952767,0.7512596128347918,0.7724696356275303,0.803778677462888,0.796221322537112,0.7638326585695007,0.7824561403508772
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,0.8051282051282052,0.0,0.740862693447481,0.7665459334869937,0.7523872242344419,0.7811610700056916,0.7767936226749336,0.7411919657556799,0.7762701167560745,0.8017789072426937,0.7471188673032598,0.7842865074958356,0.8019052956010086,0.7829548805662047,0.7746977292833972,0.7573600776447752,0.7942622950819672,0.7688622754491018,0.7937743190661478,0.7681393099000322,0.7934673366834171,0.7945551501543643,0.785307671455679,0.7699662542182227,0.7907716785998409,0.7836734693877551,0.7731313796509713,0.77938755350675,0.7741542212740018,0.7756372258446947
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,0.8097165991902834,0.740862693447481,0.0,0.7410562180579217,0.751618398637138,0.7805919180421172,0.7688219663418955,0.7431223069274113,0.7702745345534869,0.7898348157560355,0.7483153638814016,0.7890061077179344,0.8041468198374895,0.7956355057505161,0.7761722205838986,0.7667421546425105,0.7893442622950819,0.7826347305389222,0.797066746483089,0.7749113189293776,0.8032663316582914,0.785012629806343,0.7815126050420168,0.7702474690663667,0.7862635905595333,0.7705539358600583,0.7366269165247019,0.7461669505962522,0.7610484608351112,0.7566686425607587
LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,0.8156545209176788,0.7665459334869937,0.7410562180579217,0.0,0.7740268687564589,0.8042117245304496,0.7939179214644227,0.7663241630759032,0.7888923950773115,0.8127064803049555,0.7564016172506739,0.8167684619655747,0.8237601569066966,0.7991742848717193,0.8103804187555294,0.7861533484309285,0.7926229508196722,0.8032934131736527,0.8144268183178689,0.798452112221864,0.8208542713567839,0.7982037608756666,0.7806993765248035,0.7924634420697413,0.7928931317952798,0.7673469387755102,0.7315436241610739,0.7467326033203815,0.7750685766534593,0.7640782454060462
LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,0.8134952766531713,0.7523872242344419,0.751618398637138,0.7740268687564589,0.0,0.7959590210586227,0.7791555949217597,0.7620152469340404,0.7746923319659198,0.8106734434561627,0.7658355795148248,0.7945585785674625,0.8052675819557299,0.7971099970510174,0.7947508109702153,0.7651245551601423,0.8133879781420765,0.7850299401197605,0.8066447171505537,0.7691067397613673,0.8148241206030151,0.7990457479651979,0.7617240444564922,0.7786839145106862,0.803765579421904,0.7679300291545189,0.7636927316569067,0.7499138821908371,0.7552575434318806,0.7599288678126852
LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,0.7975708502024291,0.7811610700056916,0.7805919180421172,0.8042117245304496,0.7959590210586227,0.0,0.7774615822424588,0.7868525896414342,0.7919749573136027,0.7827191867852605,0.7896983494593056,0.777623542476402,0.7904174838890445,0.7822993739328401,0.7916903813318156,0.7811610700056916,0.7907103825136612,0.7879908935685828,0.7996585088218554,0.7808764940239044,0.7944723618090452,0.7684535503788942,0.7297370561127677,0.7682789651293588,0.7772474144789181,0.7438816163915766,0.7692088787706317,0.7791690381331816,0.7575412635173592,0.7507114399544679
LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,0.7889338731443994,0.7767936226749336,0.7688219663418955,0.7939179214644227,0.7791555949217597,0.7774615822424588,0.0,0.764983761440803,0.7803365810451727,0.7750952986022872,0.769412459403602,0.7812326485285952,0.7901372933594845,0.7767620171040991,0.7720436449424949,0.7824033067611456,0.7849726775956284,0.7685267198110423,0.7824033067611456,0.7844700324771184,0.7819095477386935,0.7782767330900926,0.7679587964217945,0.7691226096737908,0.7650490586051445,0.7708454810495626,0.7711839385887216,0.7782698553291999,0.7640980218482433,0.7567168585769117
LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,0.7986504723346829,0.7411919657556799,0.7431223069274113,0.7663241630759032,0.7620152469340404,0.7868525896414342,0.764983761440803,0.0,0.7642789523508994,0.7979669631512071,0.7437852171030825,0.7956690727373681,0.797142056598487,0.7950457092303156,0.8000589796520201,0.771594953089615,0.7972677595628416,0.7811377245508982,0.8024543549835379,0.7784585617542729,0.8092964824120603,0.7897838899803536,0.7503388452155055,0.7761529808773904,0.7918324051975604,0.7583090379008747,0.7461054027179317,0.7398077560490554,0.7735446510210302,0.7513337285121517
LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,0.792442645074224,0.7762701167560745,0.7702745345534869,0.7888923950773115,0.7746923319659198,0.7919749573136027,0.7803365810451727,0.7642789523508994,0.0,0.7982210927573062,0.7582833701483118,0.7840088839533592,0.7954609134211263,0.7882630492480094,0.7938661161899144,0.7649100662669612,0.7874316939890711,0.7775449101796407,0.7934750074827895,0.7655411801830231,0.7982412060301508,0.7732248105529048,0.7598265112496612,0.7663104611923509,0.7825510474675152,0.7518950437317784,0.7567055853581571,0.7627011675607447,0.7394087168546175,0.7391819798458803
LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,0.7880559085133418,0.8017789072426937,0.7898348157560355,0.8127064803049555,0.8106734434561627,0.7827191867852605,0.7750952986022872,0.7979669631512071,0.7982210927573062,0.0,0.8162642947903431,0.7918678526048285,0.8119440914866582,0.8015247776365947,0.8147395171537484,0.7911054637865311,0.7850063532401524,0.8086404066073698,0.8210927573062262,0.8058449809402796,0.7748743718592965,0.7827191867852605,0.7560355781448539,0.7964421855146124,0.774587039390089,0.7789072426937739,0.8012706480304955,0.8175349428208386,0.7936467598475222,0.793138500635324
