,LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,LIBERDADE > SEXUAL > VIOLÊNCIA SEXUAL MEDIANTE FRAUDE,INTEGRIDADE > FÍSICA > AGRESSÃO ou VIAS DE FATO,INTEGRIDADE > FÍSICA > LESÃO CORPORAL,INTEGRIDADE > FÍSICA > MAUS TRATOS,INTEGRIDADE > FÍSICA > TORTURA FÍSICA,INTEGRIDADE > FÍSICA > VIOLÊNCIA OBSTÉTRICA,INTEGRIDADE > PSÍQUICA > AMEAÇA ou COAÇÃO,INTEGRIDADE > PSÍQUICA > ASSÉDIO MORAL,INTEGRIDADE > PSÍQUICA > TORTURA PSÍQUICA,INTEGRIDADE > PSÍQUICA > ALIENAÇÃO PARENTAL,INTEGRIDADE > PSÍQUICA > CONSTRANGIMENTO,INTEGRIDADE > PSÍQUICA > EXPOSIÇÃO (EROTIZAÇÃO),INTEGRIDADE > PATRIMONIAL > INDIVIDUAL,LIBERDADE > DIREITOS INDIVIDUAIS > CÁRCERE PRIVADO,LIBERDADE > DIREITOS INDIVIDUAIS > SEQUESTRO,LIBERDADE > DIREITOS INDIVIDUAIS > STALKING,LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - INTERNACIONAL,LIBERDADE > DIREITOS INDIVIDUAIS > TRÁFICO DE MULHERES - NACIONAL,VIDA > FEMINICÍDIO,DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA DE GÊNERO E CONTRA AS MULHERES
LIBERDADE > SEXUAL > FÍSICA > ESTUPRO,0.0,0.7932258945643267,0.7956842392788855,0.8008740781207321,0.780114722753346,0.768642447418738,0.7708276427205681,0.7962305381043431,0.7806610215788036,0.7708276427205681,0.8164435946462715,0.7755696873343932,0.7817536192297186,0.780114722753346,0.7913138486752254,0.7833925157060913,0.7652982184353214,0.7790221251024311,0.7880360557224801,0.789401802786124,0.7958141909137315,0.7637257579896203,0.746790494400437,0.7607211144496039,0.7708446866485014,0.7784758262769735,0.7954110898661568,0.7981425839934444,0.7956842392788855,0.761813712100519
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL,0.7932258945643267,0.0,0.7493455497382199,0.7575261780104712,0.7369109947643979,0.7711442786069652,0.7794285714285715,0.7502401536983669,0.7741632780731936,0.7870967741935484,0.774869109947644,0.8105458399576047,0.8023255813953488,0.7802483395899509,0.7867557715674363,0.7804733727810651,0.7942163697392203,0.7777119146413752,0.7725930301240401,0.7855833842394624,0.8200612557427259,0.7787199124726477,0.7644581695676587,0.7831190609278926,0.7896457765667575,0.7712696335078534,0.7581806282722513,0.775196335078534,0.7580286168521463,0.7567330210772834
LIBERDADE > SEXUAL > ESTUPRO DE VULNERÁVEL > PEDOFILIA,0.7956842392788855,0.7493455497382199,0.0,0.7399133044348116,0.7255751917305768,0.7711442786069652,0.7762857142857142,0.7550432276657061,0.7629027213012199,0.7767180925666199,0.7633840052875083,0.8063063063063063,0.7990033222591362,0.7770719029742997,0.773086269744836,0.7730769230769231,0.7872450296927447,0.7966804979253111,0.777613703484938,0.7840562003665241,0.8154670750382849,0.7825492341356673,0.7669848399775407,0.7889882615986584,0.7757493188010899,0.7675409836065574,0.7605868622874291,0.7659219739913304,0.7656597774244833,0.759367681498829
LIBERDADE > SEXUAL > ESTUPRO VIRTUAL,0.8008740781207321,0.7575261780104712,0.7399133044348116,0.0,0.7440838404327248,0.7559262510974539,0.7508571428571429,0.7505603586295229,0.7441351266812637,0.7722300140252455,0.7415730337078652,0.805776364599894,0.7862679955703211,0.7871787467513717,0.7834143377885784,0.771301775147929,0.7833720630002582,0.7839359810314167,0.7625516834022446,0.8042150274893097,0.801174068402246,0.7737964989059081,0.7731611454239191,0.7708216880939072,0.7880108991825613,0.7327868852459016,0.7518593644354293,0.7457741717376606,0.7682034976152623,0.7520491803278688
LIBERDADE > SEXUAL > ESTUPRO CORRETIVO,0.780114722753346,0.7369109947643979,0.7255751917305768,0.7440838404327248,0.0,0.7837284167398303,0.7908571428571428,0.7547230227345502,0.7804191429465124,0.7868162692847125,0.7729676140118968,0.811075781664017,0.8070321151716501,0.7857349119260757,0.8001215066828675,0.7926035502958579,0.8086754453911696,0.7871962062833432,0.792971057294743,0.8063530849114233,0.8203164880040837,0.7981400437636762,0.7815833801235261,0.8051984348798211,0.8019073569482289,0.7472131147540984,0.7565099763273588,0.7571863375042273,0.7653418124006359,0.7669789227166276
LIBERDADE > SEXUAL > FÍSICA > ABUSO SEXUAL FÍSICO,0.768642447418738,0.7711442786069652,0.7711442786069652,0.7559262510974539,0.7837284167398303,0.0,0.772,0.7755340942347088,0.7699736611062336,0.7837307152875175,0.7968978636230611,0.8068362480127186,0.7901439645625692,0.7883338146116085,0.7854843429909277,0.7778753292361721,0.7836302607797573,0.7810945273631841,0.7693883523558677,0.8021656423763536,0.7978560490045942,0.776258205689278,0.7501403705783268,0.7688652878703186,0.776566757493188,0.7661691542288557,0.79075212174422,0.7848990342405618,0.7746561311091601,0.7474392742171495
LIBERDADE > SEXUAL > FÍSICA > EXPLORAÇÃO SEXUAL,0.7708276427205681,0.7794285714285715,0.7762857142857142,0.7508571428571429,0.7908571428571428,0.772,0.0,0.778,0.7942857142857143,0.7685834502103787,0.798,0.7904080551139374,0.7918050941306756,0.7685714285714286,0.7922857142857143,0.7668571428571429,0.7743351407177899,0.7751428571428571,0.7888571428571428,0.8062857142857143,0.801174068402246,0.7809080962800875,0.7644581695676587,0.7780883174958078,0.7809264305177112,0.7745714285714286,0.7725714285714286,0.7814285714285715,0.7905714285714286,0.7577142857142857
LIBERDADE > SEXUAL > IMPORTUNAÇÃO SEXUAL,0.7962305381043431,0.7502401536983669,0.7550432276657061,0.7505603586295229,0.7547230227345502,0.7755340942347088,0.778,0.0,0.7547700969659056,0.7744740532959327,0.7636887608069164,0.8134605193428723,0.8042635658914729,0.7828472422754836,0.778857837181045,0.7718934911242603,0.7900852052672347,0.7768227622999407,0.787359716479622,0.7990226023213195,0.8139356814701378,0.774890590809628,0.7507018528916339,0.7803242034656233,0.7871934604904632,0.7323086775536344,0.7463976945244957,0.7467178994556516,0.7577106518282989,0.7558548009367682
LIBERDADE > SEXUAL > PSÍQUICA > ABUSO SEXUAL PSÍQUICO,0.7806610215788036,0.7741632780731936,0.7629027213012199,0.7441351266812637,0.7804191429465124,0.7699736611062336,0.7942857142857143,0.7547700969659056,0.0,0.7708274894810659,0.7719737253675321,0.8025967143614202,0.7945736434108527,0.774473000288767,0.787363304981774,0.7860946745562131,0.7758843273947844,0.7726733847065798,0.7616656822209096,0.7892486255345144,0.8034711587544666,0.7696936542669585,0.7588433464345873,0.7663499161542762,0.7822888283378746,0.7500781983109165,0.7691585861745386,0.7794807632155145,0.7641538942758836,0.7555620608899297
LIBERDADE > SEXUAL > PSÍQUICA > ASSÉDIO SEXUAL,0.7708276427205681,0.7870967741935484,0.7767180925666199,0.7722300140252455,0.7868162692847125,0.7837307152875175,0.7685834502103787,0.7744740532959327,0.7708274894810659,0.0,0.7985974754558205,0.7938526762056174,0.7959579180509413,0.7755960729312763,0.8008415147265077,0.7957924263674614,0.7898270074877356,0.785133239831697,0.7795231416549789,0.8112201963534362,0.790454313425217,0.7789934354485777,0.7593267882187938,0.7778088317495808,0.7817438692098093,0.782608695652174,0.7952314165497896,0.7854137447405329,0.7963534361851332,0.767461430575035
